Date,Week,Secs,Group,Plant_Species,PlantID,Treatment ,Replicate,LA
3/18/2020,10,3_4,6,Aristida stricta,Control-6-3A,Control,3A,1.52
3/18/2020,10,3_4,6,Aristida stricta,Control-6-3B,Control,3B,2.97
3/18/2020,10,3_4,6,Aristida stricta,Control-6-4A,Control,4A,2.55
3/18/2020,10,3_4,6,Aristida stricta,Control-6-4B,Control,4B,1.39
3/18/2020,10,3_4,6,Aristida stricta,Heatwave-6-3A,Heatwave,3A,1.43
3/18/2020,10,3_4,6,Aristida stricta,Heatwave-6-3B,Heatwave,3B,2.45
3/18/2020,10,3_4,6,Aristida stricta,Heatwave-6-4A,Heatwave,4A,1.82
3/18/2020,10,3_4,6,Aristida stricta,Heatwave-6-4B,Heatwave,4B,2.81
3/18/2020,10,5_6,1,Aristida stricta,Control-1-5A,Control,5A,3
3/18/2020,10,5_6,1,Aristida stricta,Control-1-5B,Control,5B,3.6
3/18/2020,10,5_6,1,Aristida stricta,Control-1-6A,Control,6A,2.39
3/18/2020,10,5_6,1,Aristida stricta,Control-1-6B,Control,6B,5.04
3/18/2020,10,5_6,1,Aristida stricta,Heatwave-1-5A,Heatwave,5A,1.28
3/18/2020,10,5_6,1,Aristida stricta,Heatwave-1-5B,Heatwave,5B,2.05
3/18/2020,10,5_6,1,Aristida stricta,Heatwave-1-6A,Heatwave,6A,1.97
3/18/2020,10,5_6,1,Aristida stricta,Heatwave-1-6B,Heatwave,6B,2.88
3/18/2020,10,5_6,2,Aristida stricta,Control-2-5A,Control,5A,1.74
3/18/2020,10,5_6,2,Aristida stricta,Control-2-5B,Control,5B,2.34
3/18/2020,10,5_6,2,Aristida stricta,Control-2-6A,Control,6A,2.63
3/18/2020,10,5_6,2,Aristida stricta,Control-2-6B,Control,6B,2.33
3/18/2020,10,5_6,2,Aristida stricta,Heatwave-2-5A,Heatwave,5A,3.35
3/18/2020,10,5_6,2,Aristida stricta,Heatwave-2-5B,Heatwave,5B,3.22
3/18/2020,10,5_6,2,Aristida stricta,Heatwave-2-6A,Heatwave,6A,2.22
3/18/2020,10,5_6,2,Aristida stricta,Heatwave-2-6B,Heatwave,6B,2.51
3/18/2020,10,5_6,3,Aristida stricta,Control-3-5A,Control,5A,3.11
3/18/2020,10,5_6,3,Aristida stricta,Control-3-5B,Control,5B,3.56
3/18/2020,10,5_6,3,Aristida stricta,Control-3-6A,Control,6A,3.63
3/18/2020,10,5_6,3,Aristida stricta,Control-3-6B,Control,6B,5.04
3/18/2020,10,5_6,3,Aristida stricta,Heatwave-3-5A,Heatwave,5A,2.28
3/18/2020,10,5_6,3,Aristida stricta,Heatwave-3-5B,Heatwave,5B,1.18
3/18/2020,10,5_6,3,Aristida stricta,Heatwave-3-6A,Heatwave,6A,2.03
3/18/2020,10,5_6,3,Aristida stricta,Heatwave-3-6B,Heatwave,6B,3.7
3/18/2020,10,5_6,4,Aristida stricta,Control-4-5A,Control,5A,1.42
3/18/2020,10,5_6,4,Aristida stricta,Control-4-5B,Control,5B,1.75
3/18/2020,10,5_6,4,Aristida stricta,Control-4-6A,Control,6A,2.71
3/18/2020,10,5_6,4,Aristida stricta,Control-4-6B,Control,6B,3.41
3/18/2020,10,5_6,4,Aristida stricta,Heatwave-4-5A,Heatwave,5A,2.62
3/18/2020,10,5_6,4,Aristida stricta,Heatwave-4-5B,Heatwave,5B,1.04
3/18/2020,10,5_6,4,Aristida stricta,Heatwave-4-6A,Heatwave,6A,2.41
3/18/2020,10,5_6,4,Aristida stricta,Heatwave-4-6B,Heatwave,6B,1.24
3/18/2020,10,5_6,5,Aristida stricta,Control-5-5A,Control,5A,2.23
3/18/2020,10,5_6,5,Aristida stricta,Control-5-5B,Control,5B,3.01
3/18/2020,10,5_6,5,Aristida stricta,Control-5-6A,Control,6A,2.83
3/18/2020,10,5_6,5,Aristida stricta,Control-5-6B,Control,6B,2.58
3/18/2020,10,5_6,5,Aristida stricta,Heatwave-5-5A,Heatwave,5A,1.71
3/18/2020,10,5_6,5,Aristida stricta,Heatwave-5-5B,Heatwave,5B,2.88
3/18/2020,10,5_6,5,Aristida stricta,Heatwave-5-6A,Heatwave,6A,2.95
3/18/2020,10,5_6,5,Aristida stricta,Heatwave-5-6B,Heatwave,6B,2.71
3/18/2020,10,5_6,6,Aristida stricta,Control-6-5A,Control,5A,2.19
3/18/2020,10,5_6,6,Aristida stricta,Control-6-5B,Control,5B,2.85
3/18/2020,10,5_6,6,Aristida stricta,Control-6-6A,Control,6A,1.44
3/18/2020,10,5_6,6,Aristida stricta,Control-6-6B,Control,6B,1.9
3/18/2020,10,5_6,6,Aristida stricta,Heatwave-6-5A,Heatwave,5A,2.46
3/18/2020,10,5_6,6,Aristida stricta,Heatwave-6-5B,Heatwave,5B,1.3
3/18/2020,10,5_6,6,Aristida stricta,Heatwave-6-6A,Heatwave,6A,1.66
3/18/2020,10,5_6,6,Aristida stricta,Heatwave-6-6B,Heatwave,6B,2.23
3/18/2020,10,7_8,1,Aristida stricta,Control-1-7A,Control,7A,1.83
3/18/2020,10,7_8,1,Aristida stricta,Control-1-7B,Control,7B,2.3
3/18/2020,10,7_8,1,Aristida stricta,Control-1-8A,Control,8A,2.49
3/18/2020,10,7_8,1,Aristida stricta,Control-1-8B,Control,8B,1.8
3/18/2020,10,7_8,1,Aristida stricta,Heatwave-1-7A,Heatwave,7A,3.88
3/18/2020,10,7_8,1,Aristida stricta,Heatwave-1-7B,Heatwave,7B,2.33
3/18/2020,10,7_8,1,Aristida stricta,Heatwave-1-8A,Heatwave,8A,1.54
3/18/2020,10,7_8,1,Aristida stricta,Heatwave-1-8B,Heatwave,8B,2.22
3/18/2020,10,7_8,2,Aristida stricta,Control-2-7A,Control,7A,1.85
3/18/2020,10,7_8,2,Aristida stricta,Control-2-7B,Control,7B,1.63
3/18/2020,10,7_8,2,Aristida stricta,Control-2-8A,Control,8A,3.44
3/18/2020,10,7_8,2,Aristida stricta,Control-2-8B,Control,8B,2.79
3/18/2020,10,7_8,2,Aristida stricta,Heatwave-2-7A,Heatwave,7A,2.07
3/18/2020,10,7_8,2,Aristida stricta,Heatwave-2-7B,Heatwave,7B,2.06
3/18/2020,10,7_8,2,Aristida stricta,Heatwave-2-8A,Heatwave,8A,2.89
3/18/2020,10,7_8,2,Aristida stricta,Heatwave-2-8B,Heatwave,8B,3.17
3/18/2020,10,7_8,3,Aristida stricta,Control-3-7A,Control,7A,2.31
3/18/2020,10,7_8,3,Aristida stricta,Control-3-7B,Control,7B,2.58
3/18/2020,10,7_8,3,Aristida stricta,Control-3-8A,Control,8A,2.48
3/18/2020,10,7_8,3,Aristida stricta,Control-3-8B,Control,8B,4.47
3/18/2020,10,7_8,3,Aristida stricta,Heatwave-3-7A,Heatwave,7A,0.47
3/18/2020,10,7_8,3,Aristida stricta,Heatwave-3-7B,Heatwave,7B,1.96
3/18/2020,10,7_8,3,Aristida stricta,Heatwave-3-8A,Heatwave,8A,2.33
3/18/2020,10,7_8,3,Aristida stricta,Heatwave-3-8B,Heatwave,8B,2.22
